gym_record,gym_name
i_record0,丸善インテックアリーナ大阪（中央体育館） サブアリーナ１／２面
i_record1,千島体育館 体育場１／２面
i_record2,フィットネス２１東淀川体育館 体育場１／２面
i_record3,北スポーツセンター 第１体育場
i_record4,都島スポーツセンター 第１体育場
i_record5,都島スポーツセンター 第２体育場
i_record6,福島スポーツセンター 体育場
i_record7,明治スポーツプラザ此花スポーツセンター 第１体育場
i_record8,中央スポーツセンター 第１体育場
i_record9,西スポーツセンター 第１体育場
i_record10,港スポーツセンター 第１体育場１／２面
i_record11,港スポーツセンター 第２体育場
i_record12,大正スポーツセンター 第１体育場１／２面
i_record13,大正スポーツセンター 第２体育場
i_record14,天王寺スポーツセンター 第１体育場１／２面
i_record15,天王寺スポーツセンター 第２体育場
i_record16,明治スポーツプラザ浪速スポーツセンター 第１体育場１／２面
i_record17,明治スポーツプラザ浪速スポーツセンター 第２体育場
i_record18,サンエイワーク西淀川スポーツセンター 体育場
i_record19,淀川スポーツセンター 第１体育場
i_record20,淀川スポーツセンター 第２体育場
i_record21,東淀川スポーツセンター 第１体育場１／２面
i_record22,ゼット東成スポーツセンター 第１体育場１／２面
i_record23,ゼット東成スポーツセンター 第２体育場
i_record24,ゼット生野スポーツセンター 第１体育場
i_record25,旭スポーツセンター 第１体育場
i_record26,城東スポーツセンター 第１体育場１／２面
i_record27,城東スポーツセンター 第２体育場
i_record28,鶴見スポーツセンター 第１体育場
i_record29,サンエイワーク阿倍野スポーツセンター 第１体育場１／２面
i_record30,住之江スポーツセンター 第１体育場
i_record31,サンエイワーク住吉スポーツセンター 第１体育場１／２面
i_record32,フィットネス２１東住吉スポーツセンター 第１体育場１／２面
i_record33,ＨＳＴ平野スポーツセンター 第１体育場１／２面
i_record34,ＨＳＴ西成スポーツセンター 第１体育場１／２面
i_record35,ＨＳＴ西成スポーツセンター 第２体育場
i_record36,ＨＳＴ扇町プール 体育場
